graph,label,K,r,N_generic,N_loop,P0,P1,P2,C,C_predicted,pole_margin,nodal_phase_margin,nodal_metric_margin
"[2,2]","e,1,r2,r3",2000.0,,2185,2184,0.0,1.0,0.0,-1.0,-1.0,0.0003364366329061868,7.704531849312627e-05,5.408589510802312e-08
"[1,2,2]",tail=0.1848,3000.0,0.28726640435395767,5228,1502,0.21078806426931906,0.5908569242540168,0.19835501147666412,-0.18171384850803363,-0.1829408755125716,7.314276441470326e-05,5.761360398537363e-06,3.6529356422995154e-09
"[1,2,2]",tail=0.6283,3000.0,0.2657437938688838,5652,1502,0.2135527246992215,0.585102618542109,0.2013446567586695,-0.17020523708421798,-0.16923455571401969,0.00017736929000570476,3.2806815397634637e-07,2.731137807465767e-10
"[1,2,2]",tail=1.0000,3000.0,0.2500442955451483,6007,1502,0.21824538038954552,0.5766605626768769,0.2050940569335775,-0.15332112535375386,-0.15923658893154322,3.16041101599178e-05,9.824516382650472e-07,1.19726324537638e-09
"[1,2,2]",tail=3.1416,3000.0,0.18654463906962876,8052,1502,0.22367113760556384,0.5606060606060606,0.21572280178837555,-0.1212121212121211,-0.1187978791683734,2.14810141706134e-05,1.1303636711090803e-06,4.2607000314749705e-10
"[1,2,2]",tail=6.2832,3000.0,0.13591245289760334,11052,1502,0.23163228374954759,0.5424357582338039,0.22593195801664856,-0.08487151646760771,-0.08655360581431719,5.842060810113932e-06,1.551712557557039e-06,5.848897859330385e-10
"[1,2,2]",tail=12.5664,3000.0,0.08809223639773173,17052,1502,0.2379779498006099,0.5275627492376261,0.234459300961764,-0.05512549847525228,-0.05610008900520233,2.097131491756891e-06,1.9071658243774436e-06,7.188714127453849e-10
"[1,2,2]",tail=21.9911,3000.0,0.05766071936478234,26052,1502,0.24293720251804085,0.517273146015661,0.23978965146629816,-0.03454629203132198,-0.03672027888886216,1.80721968915461e-05,2.114783455908764e-06,7.971290914228767e-10
"[1,2,2,1]",ABB lengths,4000.0,,15586,0,0.24791479532914154,0.5016040035929681,0.2504812010778904,-0.003208007185936168,0.0,1.1923124674922532e-05,2.497597915152028e-07,6.82683608064712e-11
"[1,2,2,1]",both tails tiny,3000.0,,6894,0,0.2487670438062083,0.4997098926602843,0.2515230635335074,0.0005802146794313678,0.0,5.916013206124956e-05,2.723335910559399e-06,2.240015593295014e-09
"[1,2,2,1]",both tails long,3000.0,,38230,0,0.2520533612346325,0.4991629610253727,0.24878367773999477,0.0016740779492545599,0.0,2.95543731778405e-06,6.790423867641948e-08,4.8296432302056684e-11
"[1,2,2,1]","one tiny, one long",3000.0,,25902,0,0.24994208941394486,0.500424677631071,0.24963323295498416,-0.0008493552621420264,0.0,6.451930823671715e-06,1.4607099499271481e-06,6.034910183363286e-10
